"All Nations Baptist Church of Woodhaven","Food pantry.","","86-76 80th Street","WOODHAVEN","NY","11421","(718) 296-2025","","Sat: 1:00 PM - 2:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"All People's Church Apostolic Faith, Inc","Food pantry.","","182 Tompkins Avenue","BROOKLYN","NY","11206","(718) 782-3703","","Sat: 10:00 AM - 11:30 AM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"All Saints Roman Catholic Church","Food pantry.","","47 East 129th Street","NEW YORK","NY","10035","(212) 534-3535","","Sat: 8:30 AM - 10:30 AM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Allen Outreach Ministry Feeding Program","Soup kitchen.","","111-54 Merrick Boulevard","JAMAICA","NY","11433","(718) 526-3510","","Mon, Thu: 11:00 AM - 1:00 PM","Call ahead.","Free.","Soup Kitchen","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Allen Outreach Ministry Feeding Program","Food pantry.","","111-54 Merrick Boulevard","JAMAICA","NY","11433","(718) 526-3510","","Thu: 11:00 AM - 1:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Ammi Evangelical Baptist Church","Food pantry.","","1799 Flatbush Avenue","BROOKLYN","NY","11210","(718) 282-7565","","Sat: 12:30 PM - 2:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Antioch Outreach Ministries","Food pantry. ","","41 West 124 Street ","NEW YORK","NY","10027","(212) 534-5715","","Sat: 8:30 AM - 10:30 AM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Ascension Outreach, Inc","Food pantry.","","12 West 11th Street","NEW YORK","NY","10011","(212) 254-8620","","Sat: 8:30 AM - 9:30 AM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Astor Child Guidance Center","Food pantry.","","750 Tilden Street","BRONX","NY","10467","(718) 231-3400","","Thu: 2:00 PM - 3:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"BMV St Marys Church Winfield","Food pantry.","","70-31 48th Avenue","WOODSIDE","NY","11377","(718) 672-4848","","Thu: 9:30 AM - 12:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Bay Ridge Center","Food pantry. This location is open only on the first Monday of each month.","","411 Ovington Avenue","BROOKLYN","NY","11209","(718) 748-0650","","Mon: 10:00 AM - 3:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Bed-Stuy Campaign Against Hunger","Food pantry.","","2004 Fulton Street","BROOKLYN","NY","11233","(718) 773-3551 x152","","Mon: 1 AM - 3 PM; Tue - Fri: 10 AM - 6:30 PM
","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Bedford Central Presbyterian Church Food Provider","Food pantry.","","1200 Dean Street","BROOKLYN","NY","11216","(718) 467-0740","","Thu: 1:00 PM - 2:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Bensonhurst Council of Jewish Organizations","Food pantry with kosher food. ","","8635 21st Avenue","BROOKLYN","NY","11214","(718) 333-1834","","Mon, Tue, Thu: 10:00 AM - 2:00 PM","Call ahead.","Free.","Food Pantry, Kosher Diet","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Beraca Seventh Day Adventist Church","Food pantry.","","91-19 191st Street","HOLLIS","NY","11423","(718) 740-1916","","Wed: 10:00 AM - 11:30 AM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Beth Hark Christian Counseling Center Food Provider I","Food pantry.","","1832 Madison Avenue","NEW YORK","NY","10035","(212) 860-1523","","Tue: 1:00 PM - 5:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Beth Hark Christian Counseling Center Food Provider II","Soup kitchen. ","","1832 Madison Avenue","NEW YORK","NY","10035","(212) 860-1523","","Wed, Thu: 12:00 PM - 2:00 PM","Call ahead.","Free.","Soup Kitchen","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Bethany Baptist Church of Jamaica","Food pantry.  ","","157-11 111th Avenue","JAMAICA","NY","11433","(718) 659-6099","","Tue: 10:00 AM - 12:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Bethany Baptist Church of Jamaica ","Soup kitchen. ","","157-11 111th Avenue","JAMAICA","NY","11433","(718) 659-6099","","Wed: 12:00 PM - 3:00 PM","Call ahead.","Free.","Soup Kitchen","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Bethany United Methodist Church","Soup kitchen.","","1208 St. John's Place","BROOKLYN","NY","11213","(718) 774-5689","","Tue: 12:30 PM - 2:30 PM","Call ahead.","Free.","Soup Kitchen","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Bethel African Methodist Episcopal Church","Food pantry.","","54-60 West 132nd Street","NEW YORK","NY","10037","(212) 862-0100","","Thu: 9:00 AM - 12:00 AM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Bethel African Methodist Episcopal Church - Bethel Arverne Community","Food pantry.","","215 Beach 77th Street","ARVERNE","NY","11692","(718) 474-7712","","Thu: 11:00 AM - 1:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Bethel Gospel Tabernacle Church","Soup kitchen.","","110-25 Guy R. Brewer Boulevard","JAMAICA","NY","11433","(718) 291-4452","","Tue, Fri: 12:00 PM - 2:00 PM; Wed: 9:00 AM - 10:00 AM","Call ahead.","Free.","Soup Kitchen","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Bethel Gospel Tabernacle Church","Food pantry. ","","110-25 Guy R. Brewer Boulevard","JAMAICA","NY","11433","(718) 291-4452","","Wed: 11:00 AM - 12:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Bethel Holy Church","Soup kitchen.","","922 St. Nicholas Avenue","NEW YORK","NY","10032","(212) 283-9407","","Tue: 1:00 PM - 2:30 PM","Call ahead.","Free.","Soup Kitchen","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Bethel Seventh Day Adventist Church","Soup kitchen.","","457 Grand Avenue","BROOKLYN","NY","11238","(718) 783-3630","","Sun: 1:00 PM - 2:00 PM","Call ahead.","Free.","Soup Kitchen","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Bethel Seventh Day Adventist Church","Food pantry.","","457 Grand Avenue","BROOKLYN","NY","11238","(718) 783-3630","","Wed: 3:00 PM - 5:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Bethesda Missionary Baptist Church","Soup kitchen.","","179-09 Jamaica Avenue","JAMAICA","NY","11432","(718) 297-5908","","Mon; Thu: 12:00 PM - 2:00 PM","Call ahead.","Free.","Soup Kitchen","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Black Forum of Co-Op City","Food pantry.","","177 Dreiser Loop","BRONX","NY","10475","(718) 320-8035","","Tues, Wed - Fri: 11:00 AM - 12:45 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Blanche Memorial Church Food Provider I","Food pantry.","","109-74 Sutphin Boulevard","JAMAICA","NY","11435","(718) 658-2458","","Tue: 9:00 AM - 10:00 AM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Blessed Sacrament Church Food Provider II","Soup kitchen.","","147 West 70th Street","NEW YORK","NY","10023","(212) 877-3111","","Sun: 2:00 PM - 2:30 PM","Call ahead.","Free.","Soup Kitchen","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Bridge Street Missionary Free Food Program","Soup kitchen. ","","277 Stuyvesant Avenue","BROOKLYN","NY","11221","(718) 452-3936","","Wed: 11:00 AM - 1:30 PM","Call ahead.","Free.","Soup Kitchen","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Bronx AIDS Services ","Food pantry offering an HIV/AIDS diet. 
","","540 East Fordham ","BRONX","NY","10458","(718) 295-5605","","Mon - Fri: 9:30 AM - 4:00 PM","Call ahead.","Free.","Food Pantry, HIV/AIDS Diet","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Bronx Bethany Community Corporation","Food pantry.","","964 East 227th Street ","BRONX","NY","10466","(718) 231-5276","","Wed: 9:00 AM - 11:00 AM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Bronx SDA Church Food Pantry","Food pantry.","","1695 Washington Avenue","BRONX","NY","10457","(718) 618-7344","","Thu: 2:00 PM - 5:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Bronx Temple Seventh Day Adventist Church","Food pantry.","","495 Willis Avenue","BRONX","NY","10455","","","Tue, Thu: 12:00 PM - 1:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Brooklyn Rescue Mission Urban Harvest Center Inc","Food pantry.","","919 Gates Ave ","BROOKLYN","NY","11221","(718) 363-3085","","Tues - Thu: 10:00 AM - 12:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Brooklyn West Family Center","Food pantry.","","191 Joralemon Street","BROOKLYN","NY","11201","(718) 722-6001","","Tue, Thu: 9:30 AM - 1:30 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Brownsville Temple Seventh Day Adventist Church","Food pantry. This location is open on the 1st, 2nd, and 3rd Sundays of each month.","","1089 Clarkson Avenue","BROOKLYN","NY","11212","(718) 345-3689","","Sun: 11:00 AM - 1:00 PM (Does not distribute on the last Sunday of each month)","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Cabrini Immigrant Services","Food pantry.","","139 Henry Street","NEW YORK","NY","10002","(212) 791-4590","","Tue: 9:30 AM - 12:30 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Caldwell Temple AME Zion Church","Soup kitchen.","","1288 Rev James A Polite Avenue","BRONX","NY","10459","(347) 577-5070","","Sat: 11:00 AM - 2:00 PM","Call ahead.","Free.","Soup Kitchen","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Calvary Baptist Church","Food pantry. ","","111-10 Guy R. Brewer Boulevard","JAMAICA","NY","11433","(718) 297-2301","","Thu: 11:30 AM - 1:30 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Calvary Pentecostal Church","Food pantry.","","151 Woodruff Avenue","BROOKLYN","NY","11226","(718) 469-8252","","Thu: 11:00 AM - 1:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Calvary's Mission","Food pantry. ","","102-16 89th Avenue","RICHMOND HILL","NY","11418","(718) 849-0311","","Sat: 9:00 AM - 10:00 AM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Cardinal McCloskey Family Outreach","Food pantry.","","953 Southern Boulevard","BRONX","NY","10459","(718) 542-0255","","Wed: 9:30 AM - 12:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Cardinal McCloskey Services East Harlem","Food pantry.","","2253 Third Avenue","NEW YORK","NY","10035","(212) 987-1806","","Mon, Wed and  Fri: 9:30 AM - 12:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Cathedral Community Cares Inc. - Cathedral of St. John the Divine","Soup kitchen.","","1047 Amsterdam Avenue ","NEW YORK","NY","10025","(212) 316-7583","","Sun: 10:00 AM - 2:30 PM","Call ahead.","Free.","Soup Kitchen","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Cathedral of Joy","Food pantry.","","43 George Street","BROOKLYN","NY","11206","(718) 386-8151","","Tue, Thurs: 9:00 AM - 11:30 AM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Cathedral of Joy CDC","Soup kitchen.","","43 George Street","BROOKLYN","NY","11206","(718) 386-8151","","Tue: 9:00 AM - 1:30 PM, 12:00 PM - 1:00 PM; Sat: 9:00 AM - 10:30 AM","Call ahead.","Free.","Soup Kitchen","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Catholic Charities","Food pantry.","","2866 West 17th Street","BROOKLYN","NY","11224","(718) 722-6001","","Mon: 10:00 AM - 2:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Center of Hope International","Food pantry.","","38-49 12th Street","LONG ISLAND CITY","NY","11101","(718) 784-4673","","Tue, Wed, Thu: 12:00 PM - 3:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Chance for Children","Food pantry.","","11 Mckeever Place ","BROOKLYN","NY","11225","(347) 616-3228","","Fri: 9:30 AM - 2:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Child Development Support Corporation","Food pantry.","","353-358 Classon Avenue","BROOKLYN","NY","11238","(718) 398-2050","","Thu: 10:00 AM - 12:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Christ Apostolic Church of America, Inc","Food pantry.","","108-02 Sutphin Boulevard","JAMAICA","NY","11435","(718) 658-8981","","Sat: 10:00 AM - 12:00 PM ","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Christ Church United Methodist","Soup kitchen.","","524 Park  Avenue","NEW YORK","NY","10065","(212) 838-3036","","Sun: 4:30 PM - 6:00 PM","Call ahead.","Free.","Soup Kitchen","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Christ Disciples International Ministries","Food pantry.","","3021-31 Webster Avenue ","BRONX","NY","10467","(718) 994-5422","","Wed, Sat: 10:30 AM - 1:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Christ The Rock Church International","Food pantry.","","770-784 Glenmore Avenue ","BROOKLYN","NY","11208","(718) 348-7414","","Wed: 5:00 PM -  6:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Christian Church of Canarsie","Food pantry.","","602 East 89th Street","BROOKLYN","NY","11236","(718) 272-5150","","Sat: 10:00 AM - 1:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Christian Cultural Center","Food pantry.","","1400 Linden Boulevard","BROOKLYN","NY","11212","(631) 291-1669","","Thu: 10:00 AM - 1:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Christian Fellowship Seventh Day Adventist Community Services","Non-profit food pantry. This location is closed on the fifth Wednesday of the month. ","","777 Schenectady Avenue","BROOKLYN","NY","11203","","","Wed: 10:30 AM - 12:30 PM","Call ahead.","Call for information.","Food Pantry","","Eligibility restrictions may apply. Call the agency for information.","","Call for information.","",""
"Christian Pentacostal Church","Food pantry.","","900 Richmond Road","STATEN ISLAND","NY","10304","(718) 273-5850","","Tue, Wed: 7:00 PM - 8:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Church of God Brooklyn","Food pantry.","","627-29 Remsen Avenue","BROOKLYN","NY","11236","(718) 346-4897","","Sat: 1:00 PM - 2:30 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Church of God Feeding the Hungry","Food pantry.","","836 Classon Avenue","BROOKLYN","NY","11238","(718) 230-8277","","Thu: 11:30 AM - 1:30 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Church of God Seventh Day Pentecostal","Food pantry.","","922 St. Marks Avenue","BROOKLYN","NY","11213","(718) 221-9718","","Tue: 5:00 PM - 6:30 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Church of God Seventh Day Pentecostal","Soup kitchen.","","922 St. Marks Avenue","BROOKLYN","NY","11213","(718) 221-9718","","Wed: 5:00 PM - 7:00 PM","Call ahead.","Free.","Soup Kitchen","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Church of God in Christ Jesus","Soup kitchen.","","157-22 South Road","JAMAICA","NY","11433","(718) 291-9281","","Wed: 10:00 AM - 12:00 PM","Call ahead.","Free.","Soup Kitchen","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Church of God in Christ Jesus","Food pantry.","","157-22 South Road","JAMAICA","NY","11433","(718) 291-9281","","Mon: 3:00 PM - 5:00 PM; Wed: 10:00 AM - 2:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Church of God of Salvation","Food pantry.","","1615 Nostrand Avenue","BROOKLYN","NY","11226","(718) 941-8195","","Tue, Thu: 9:00 - 11:00 AM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Church of God, Inc","Food pantry.","","1011 Winthrop Street","BROOKLYN","NY","11212","(718) 493-3031","","Sat: 1:30 PM - 2:30 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Church of Notre Dame","Food pantry. ","","405 West 114th Street","NEW YORK","NY","10028","(212) 866-1500","","Tue: 2:00 PM - 4:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Church of Pentecost USA Inc - Pentecost Care Community Outreach Food Provider","Food pantry.","","621 East 216 Street","BRONX","NY","10467","(718) 515-5366","","Thu: 1:00 PM - 2:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Church of Praise and Worship God in Christ","Food pantry.","","526 Ralph Avenue","BROOKLYN","NY","11233","(347) 462-5679","","Sat: 12:30 PM - 2:30 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Church of the Annunciation","Food pantry.","","88 Convent Avenue","NEW YORK","NY","10027","(212) 234-1919","","Tue: 1:00 PM - 2:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Church of the Crucifixion","Food pantry.","","459 West 149th Street","NEW YORK","NY","10031","(212) 281-0900","","Wed: 10:00 AM - 1:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Coalition for the Homeless","Soup kitchen.","","108 East 51st Street","NEW YORK","NY","10022","(212) 369-9220","","Mon - Sun: 6:00 PM - 7:00 PM","Call ahead.","Free.","Soup Kitchen","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Come World Ministries, Inc","Food pantry.","","1034 Prospect Avenue","BRONX","NY","10459","(646) 337-0132","","Wed: 9:00 AM - 11:00 AM; Sat: 12:00 PM - 2:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Come World Ministries, Inc","Soup kitchen.","","1034 Prospect Avenue","BRONX","NY","10459","(646) 337-0132","","Sat: 12:00 PM - 2:00 PM","Call ahead.","Free.","Soup Kitchen","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Community Alliance Initiative","Food pantry.","","60-85 Myrtle Avenue ","RIDGEWOOD","NY","11385","(718) 305-4888","","Wed: 10:00 AM - 3:00 PM ","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Community Health Action of Staten Island","Food pantry.","","2134 Richmond Terrace","STATEN ISLAND","NY","10302","(718) 808-1840","","Wed: 10:00 AM - 1:00 PM, 2:00 PM - 4:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Community Impact","Food pantry.","","601 West 114th Street","NEW YORK","NY","10025","(212) 864-6100","","Mon, Thu: 12:30 PM - 2:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Community League Of The Heights","Food pantry.","","508 West 159th Street","NEW YORK","NY","10032","(212) 795-4779","","Wed: 9:00 AM - 11:00 AM; Sat: 
9:00 AM - 11:00 AM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Community Services Housing Development Corporation","Food pantry. ","","547 Howard Avenue","BROOKLYN","NY","11233","(646) 794-5961","","Thu: 10:00 AM - 12:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Convent Avenue Baptist Church","Food pantry.","","425 West 144th Street ","NEW YORK","NY","10031","(212) 234-6767","","Mon, Thu: 9:00 AM - 12:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Cornerstone Baptist Food Pantry","Food pantry.","","562-74 Madison Street","BROOKLYN","NY","11221","(718) 574-5248","","Tue: 11:00 AM - 1:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Corona Seventh Day Adventist Church","Food pantry.","","35-30 103rd Street","CORONA","NY","11368","(718) 651-4534","","Sun: 12:00 PM - 2:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Corpus Christi Food Pantry","Food pantry.","","31-30 61st Street","WOODSIDE","NY","11377","(718) 278-8114","","Wed: 11:00 AM - 1:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Council of Jewish Organizations Staten Island","Food pantry with kosher food.","","984 Post Avenue","STATEN ISLAND","NY","10302","(718) 720-4047","","Mon, Wed, Fri: 10:00 - 2:00 PM; 
Tue, Thu: 12:00 PM - 2:00 PM; 
Sun: 9:00 AM - 11:00 AM","Call ahead.","Free.","Food Pantry, Kosher Diet","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Creston Avenue Baptist Church, Inc","Food pantry. ","","114 East 188th Street","BRONX","NY","10468","(718) 367-1754","","Sat: 12:00 PM - 2:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Creston Avenue Baptist Church, Inc Food Provider II","Soup kitchen.","","114 East 188th Street","BRONX","NY","10468","(718) 367-1754","","Sat: 12:00 PM - 2:00 PM","Call ahead.","Free.","Soup Kitchen","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Crossover Baptist Church Community Outreach Help Center","Soup kitchen.","","358 Kosciusko Street","BROOKLYN","NY","11221","","","Tue, Thu: 9:00 AM - 11:00 AM; Wed, Sat: 12:00 PM - 2:00 PM","Call ahead.","Free.","Soup Kitchen","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Crossover Baptist Church Community Outreach Help Center","Food pantry.","","358 Kosciusko Street","BROOKLYN","NY","11221","","","Fri: 9:00 AM - 12:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Crossroad's Community Services","Food pantry.","","108 East 51st Street","NEW YORK","NY","10022","(212) 378-0231","","Thu: 12:00 PM - 3:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Crossroad's Community Services Inc","Soup kitchen.","","108 East 51st Street","NEW YORK","NY","10022","(212) 378-0231","","Mon - Fri, Sun: 5:30 PM - 6:30 PM; Mon, Wed, Sun: 7:00 AM - 8:30 AM; Sat: 9:30 AM - 11:00 AM ","Call ahead.","Free.","Soup Kitchen","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
